Generation,P0_meanFit,P0_varFit,relFitness,N,Patch_Number,S_OD,Unnamed: 0,cMperChrom,fit_MAC,fit_PAC,generalCommandsPath,generalOutputPath,migration_scenario,mu,nbChrom,nbGenerations,nbLoci,nbLoci_MAC,nbLoci_OD,nbLoci_PAC,nbPairsLoci_OD,nbReplicates,outputOptions,selectionOn,simulationSuperSetID
0,1.0,0.0,1.0,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
1,1.0,0.0,1.0,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
2,0.9791328359999986,0.0041261699999999985,0.9791328359999986,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
3,0.9746432830000008,0.0038530400000000033,0.9746432830000008,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
4,0.9742828310000003,0.0027125989999999987,0.9742828310000003,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
5,0.9749326940000005,0.0018382849999999983,0.9749326940000005,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
6,0.9757305940000005,0.0013120509999999996,0.9757305940000005,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
7,0.9764848390000005,0.0010085240000000009,0.9764848390000005,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
8,0.9771852150000002,0.0008370500000000007,0.9771852150000002,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
9,0.9778502070000016,0.000733032999999999,0.9778502070000016,1000,1,0.025,5,100,NA NA NA,1 0.95 0.9,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/commands,/Users/remi/Documents/Biologie/Vancouver/PhD/Thesis/geneticRescue/Simulations/A.0.3/outputs,"0.05,1",0,10,100,20,0,20,0,10,1000,--fitnessStats_file NFN fromToBy 0 end 1,fertility,A.0.3
